Raid,Type,Hero,Normal Gold,Hero Gold,Core Gold,Level,QB Att,QB Def,QB Crit,QB Bal,QB ADD,QB Pen,QB ALR,Crit Rate,Crit Res,Bal Res,Def,Bal Cap,Crit Cap,Crit Res Cap,Pts
Esras,Raid,Y,"171,100","342,200","142,300",125,"66,120","39,750",354,202,"8,650",390,0,427,328,111,"56,120",211,378,427,"321,520"
Uscias,Raid,Y,"171,100","342,200","142,300",125,"63,120","37,750",337,190,"8,200",370,0,405,311,99,"53,120",199,361,405,"305,220"
Semias,Raid,Y,"171,100","342,200","142,300",125,"60,120","36,250",322,178,"7,750",350,0,385,296,87,"50,120",187,346,385,"289,520"
Lucian,Raid,Y,"171,100","342,200","142,300",125,"58,120","34,250",312,168,"7,550",330,0,370,286,77,"49,120",177,336,370,"279,920"
Special,Special,N,"104,500",,"32,350",125,"58,120","34,250",312,168,"7,550",330,0,370,286,77,"49,120",177,336,370,"279,920"
Morgant,Raid,Y,"164,600","329,200","135,000",120,"57,620","33,530",300,160,"7,450",315,0,349,281,72,"48,620",172,331,349,"274,870"
Gorbas,Raid,Y,"164,600","329,200","135,000",120,"56,920","32,830",290,152,"7,350",300,0,327,276,64,"47,920",164,326,327,"268,720"
Spinos,Raid,Y,"164,600","329,200","135,000",120,"54,920","32,130",284,144,"7,250",285,0,315,261,56,"45,920",156,311,315,"258,270"
Sreng,Raid,Y,"164,600","329,200","135,000",120,"52,920","31,430",278,136,"7,150",270,0,298,246,53,"43,920",153,296,298,"249,320"
RAR,RAR,N,"96,000",,,120,"52,920","31,430",278,136,"7,150",270,0,298,246,53,"43,920",153,296,298,"249,320"
RME Hero,RME,Y,,"45,360",,120,"52,920","31,430",278,136,"7,150",270,0,298,246,53,"43,920",153,296,298,"249,320"
Bres,Raid,Y,"164,000","249,000","100,000",115,"51,360","31,430",264,128,"6,150",250,0,288,240,44,"43,860",144,290,288,"235,760"
Jarnir,Raid,Y,"164,000","249,000","100,000",115,"49,830","29,900",256,118,"5,900",230,0,279,226,37,"42,330",137,276,279,"224,930"
Emmett,Raid,Y,"164,000","249,000","100,000",115,"47,680","27,750",244,108,"5,600",216,0,270,214,28,"40,180",128,264,270,"213,380"
Irusan,Raid,Y,"164,000","249,000","100,000",115,"46,280","26,350",236,104,"5,600",205,0,262,206,20,"38,780",120,256,262,"206,630"
RME Normal,RME,N,"45,360",,,115,"46,280","26,350",236,104,"5,600",205,0,262,206,20,"38,780",120,256,262,"206,630"
Enok,Raid,N,"64,700",,"32,350",110,"45,280","26,350",229,100,"4,800",194,0,248,204,16,"37,780",116,254,248,"196,880"
Cessair,Raid,N,"64,700",,"32,350",110,"44,280","25,350",222,98,"4,700",186,0,240,195,14,"37,780",114,245,240,"192,380"
Milo,Raid,N,"64,700",,"32,350",110,"43,110","24,300",215,96,"4,600",178,0,231,188,12,"35,920",112,238,231,"186,620"
Naberius,Raid,N,"64,700",,"32,350",110,"42,110","23,310",212,94,"4,500",170,0,223,181,9,"34,110",109,231,223,"180,610"
Romel,Raid,N,"64,700",,"32,350",110,"40,630","22,300",209,93,"4,400",162,0,215,175,7,"32,300",107,225,215,"175,200"
Neamhain,Redeemer,N,"200,000",,,90,0,0,0,0,0,0,0,125,90,0,"17,000",100,140,125,"89,000"
Balor,Redeemer,N,"200,000",,,90,0,0,0,0,0,0,0,150,123,0,"23,500",100,173,150,"105,400"
Brigid,Redeemer,N,"200,000",,,100,0,0,0,0,0,0,0,200,150,0,"30,000",100,200,200,"120,000"
Laura,Redeemer,N,"200,000",,,105,0,0,0,0,0,0,0,225,185,4,"35,500",104,235,225,"137,200"
Hell Neamhain,Redeemer,N,"1,000,000",,,90,0,0,0,0,0,0,0,185,145,0,"29,000",100,195,185,"117,500"
Hell Balor,Redeemer,N,"1,000,000",,,90,0,0,0,0,0,0,0,185,145,0,"29,000",100,195,185,"117,500"
Hell Brigit,Redeemer,N,"1,000,000",,,100,0,0,0,0,0,0,0,225,185,0,"35,500",100,235,225,"136,000"
Hell Laura,Redeemer,N,"1,000,000",,,105,0,0,0,0,0,0,0,249,206,17,"37,280",117,256,249,"149,180"
Taros Jr,Space Time,N,"450,000",,,110,"50,000","28,000",220,110,"6,700",230,"2,000",290,229,34,"40,000",134,279,290,"245,000"
Eisen,Space Time,N,"600,000",,,115,"58,850","33,000",281,139,"7,300",280,"6,000",320,254,59,"42,850",159,304,320,"302,150"
Jordra,Space Time,N,"1,200,000",,,120,"65,000","35,000",332,172,"8,100",370,"11,250",330,305,100,"45,000",200,355,330,"384,800"
Taros,Space Time,N,"1,500,000",,,125,"74,000","43,000",367,217,"9,350",460,"13,000",480,340,145,"74,000",245,390,480,"466,300"
Shadow's Castle,Shadow's Castle,N,0,,,115,0,0,0,0,0,0,0,298,340,137,"70,428",237,390,298,"258,528"
